decision_id,timestamp,mint,trigger_type,side,predicted_fees_usd,predicted_impact_usd,tp_usd,follow_through_score,size_sol,size_usd,confidence,expected_ev_usd,success_probability,rank,wallet,wallet_tier,datetime
1,1761793144,e5fae7dbebb34bf59b7328cb121bf7e1348a3a59ddbb3e51b5358ff3d5b9ab7f,copy,0,0.3410,0.8460,1.0000,100,0.0234,4.6318,100,1.0243,0.0000,,bc20044f6928a6a9852c0bd8733ece7f5da0c11684abcb04c343404243286724,0,2025-10-30 02:59:04
2,1761793357,616cd62eaffba71921bbcfe72abadd83908a40246175d8e7ad3d26ad327c8d0f,copy,0,0.3266,1.4993,1.0000,88,0.0210,4.1521,88,0.9794,0.0000,,4c7d325df02adc4370b47d90c0f1427ea72e67ad818b893c65f32b2df47ab82c,0,2025-10-30 03:02:37
1,1761794349,664ef71e2990d43e4dc16b6148ea0fe422342c5e027c5b5894a0f53cd7bd6b1f,copy,0,0.3275,1.5161,1.0000,88,0.0212,4.1817,88,1.2097,0.0000,,ba484d908da9b925d75a9ea6b184a86f9e9d3e0c6ef7387df205d960686b06e5,0,2025-10-30 03:19:09
1,1761959006,cff0145da70565226989e028ffb9612550604747367f8820d11883b3ac710bff,copy,0,0.3155,1.3440,1.0000,84,0.0202,3.7824,84,1.1820,0.0000,,18c3f0de470beb3effade4a647fc33a3e22ed81667d2bf28924bbbebf575e14c,0,2025-11-01 01:03:26
1,1761959533,9af37c07755517d7014e231b02e833e19e1eb8f58017739089b5e8e66e21fd2f,copy,0,0.2960,7.5973,1.0000,64,0.0162,3.1337,64,1.0359,0.0000,,18c3f0de470beb3effade4a647fc33a3e22ed81667d2bf28924bbbebf575e14c,0,2025-11-01 01:12:13
2,1761959580,9af37c07755517d7014e231b02e833e19e1eb8f58017739089b5e8e66e21fd2f,copy,0,0.3088,2.1208,1.0000,75,0.0184,3.5593,75,1.2290,0.0000,,bc20044f6928a6a9852c0bd8733ece7f5da0c11684abcb04c343404243286724,0,2025-11-01 01:13:00
3,1761959638,1954647143654446dac56b0b0076daad1023712e7f5013b6322182f42886708f,copy,0,0.2963,3.6928,1.0000,66,0.0168,3.1428,66,1.2834,0.0000,,48566aa3a199d76b3374c01f0fe9d5b1c2efbab61d7991ce6b3606a77830623b,0,2025-11-01 01:13:58
1,1761960150,cff0145da70565226989e028ffb9612550604747367f8820d11883b3ac710bff,copy,0,0.3157,1.6542,1.0000,81,0.0196,3.7914,81,0.9345,0.0000,,2f4befbfcc540a9ff50462571b60007ecbfb0f1c53117aa1e4dd2db13631b909,0,2025-11-01 01:22:30
2,1761960330,aa13687a59152650e06355e1998aac826ad3a39bd32e952542848dc28537ddff,copy,0,0.3401,0.8601,1.0000,100,0.0238,4.6039,100,1.0245,0.0000,,18c3f0de470beb3effade4a647fc33a3e22ed81667d2bf28924bbbebf575e14c,0,2025-11-01 01:25:30
3,1761960533,9f65091ded6660641201767446fad3614a114de427240031f45835f0ac5efb8f,copy,0,0.2996,2.1749,1.0000,70,0.0174,3.2522,70,0.8218,0.0000,,ba484d908da9b925d75a9ea6b184a86f9e9d3e0c6ef7387df205d960686b06e5,0,2025-11-01 01:28:53
4,1761960627,9f65091ded6660641201767446fad3614a114de427240031f45835f0ac5efb8f,copy,0,0.3075,1.5776,1.0000,77,0.0188,3.5160,77,0.9009,0.0000,,5c72d9caf532330c49d0d2dece675784608692b51b4652b50e0cfeeee1062890,0,2025-11-01 01:30:27
1,1762080512,f734a185fc0978005c975304ebffc88bf32009d1826dfbe8b022001176153a8f,copy,0,0.3413,1.8177,1.0000,100,0.0240,4.6426,100,1.2651,0.0000,,0c63edfcf16932ede15d8ecc1688575d2c97aba8ea17851d6c62afe6fa849224,0,2025-11-02 10:48:32
2,1762080564,ab1408ed85e192a35143550ed1f83d05410f1c22563b9adf5dcaa5a21d0fc36f,copy,0,0.3183,3.2994,1.0000,88,0.0210,3.8779,88,1.3182,0.0000,,8f49ce525ea4885229c1eb7e2446bc9a8721c9016975608ddc34bd682254766c,0,2025-11-02 10:49:24
1,1762082886,d694439699b6434f21eaf76652a294d142c03fe420a6c8a2d0bc50addc06f18f,copy,0,0.3412,0.8455,1.0000,100,0.0250,4.6385,100,1.2651,0.0000,,0c63edfcf16932ede15d8ecc1688575d2c97aba8ea17851d6c62afe6fa849224,0,2025-11-02 11:28:06
